version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,baseline,v0+pe6a9ca7c9a22+t6cdb53d5d7b8,e6a9ca7c9a22eb941b9ebd0e158cff8500605ffbdaa5d6c849f45c5b67d36f4c,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,baseline,Đo hiệu năng ban đầu trên OpenAI provider (gpt-4o-mini),case_accuracy,,1.0,runs/v0_B_base_openai_20260729T104929734416.json
v1,team,system_prompt.md,v1+pe6a9ca7c9a22+t6cdb53d5d7b8,e6a9ca7c9a22eb941b9ebd0e158cff8500605ffbdaa5d6c849f45c5b67d36f4c,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Tối ưu system prompt cho routing và clarification,Duy trì độ chính xác hoàn hảo 100% trên tập base eval,case_accuracy,1.0,1.0,runs/v1_B_base_openai_20260729T105526137661.json
v2,team,tools.yaml,v2+pe6a9ca7c9a22+t6cdb53d5d7b8,e6a9ca7c9a22eb941b9ebd0e158cff8500605ffbdaa5d6c849f45c5b67d36f4c,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Tối ưu mô tả và schema của tools,Đảm bảo các tham số truyền đúng định dạng và duy trì 100% accuracy,case_accuracy,1.0,1.0,runs/v2_B_base_openai_20260729T105640723059.json
v3,team,system_prompt.md,v3+pe6a9ca7c9a22+t6cdb53d5d7b8,e6a9ca7c9a22eb941b9ebd0e158cff8500605ffbdaa5d6c849f45c5b67d36f4c,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Hoàn thiện quy tắc multi-turn và kiểm soát hội thoại,Đạt 100% case accuracy và multiturn accuracy trên tập base eval,case_accuracy,1.0,1.0,runs/v3_B_base_openai_20260729T105824045508.json
